,bucket,config,output,domain,horizion,prefix,timestep,ensemble,source,version,startDate,endDate,http_pattern
20,medium_range,medium_range,channel_rt,conus,80,f,3,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range/nwm.t{HH}z.medium_range.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
21,medium_range,medium_range,land,conus,80,f,3,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range/nwm.t{HH}z.medium_range.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
22,medium_range,medium_range,reservoir,conus,80,f,3,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range/nwm.t{HH}z.medium_range.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
23,medium_range,medium_range,terrain_rt,conus,80,f,3,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range/nwm.t{HH}z.medium_range.terrain_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
24,short_range,short_range,channel_rt,conus,18,f,1,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/short_range/nwm.t{HH}z.short_range.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
25,short_range,short_range,land,conus,18,f,1,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/short_range/nwm.t{HH}z.short_range.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
26,short_range,short_range,reservoir,conus,18,f,1,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/short_range/nwm.t{HH}z.short_range.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
27,short_range,short_range,terrain_rt,conus,18,f,1,NA,gcp,2.1,9/17/18,6/18/19,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/short_range/nwm.t{HH}z.short_range.terrain_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
28,analysis_assim,analysis_assim,channel_rt,conus,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim/nwm.t{HH}z.analysis_assim.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
29,analysis_assim,analysis_assim,land,conus,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim/nwm.t{HH}z.analysis_assim.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
30,analysis_assim,analysis_assim,reservoir,conus,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim/nwm.t{HH}z.analysis_assim.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
31,analysis_assim,analysis_assim,terrain_rt,conus,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim/nwm.t{HH}z.analysis_assim.terrain_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
